consultante_provincia,0,1
,50.22,49.78
buenos aires,40.58,59.42
catamarca,61.22,38.78
chaco,42.74,57.26
chubut,38.98,61.02
ciudad autnoma de buenos aires,45.11,54.89
corrientes,42.17,57.83
crdoba,41.02,58.98
entre ros,50.0,50.0
formosa,61.11,38.89
jujuy,36.84,63.16
la pampa,36.36,63.64
la rioja,12.9,87.1
mendoza,38.98,61.02
misiones,38.38,61.62
neuqun,42.73,57.27
ro negro,67.39,32.61
salta,38.64,61.36
san juan,33.33,66.67
san luis,30.77,69.23
santa cruz,40.0,60.0
santa fe,44.52,55.48
santiago del estero,40.96,59.04
tierra del fuego,26.67,73.33
tucumn,53.55,46.45
