consultante_provincia,0,1
,43.91,37.02
buenos aires,18.94,23.58
catamarca,0.83,0.45
chaco,1.47,1.67
chubut,0.64,0.85
ciudad autnoma de buenos aires,9.45,9.79
corrientes,0.97,1.13
crdoba,3.35,4.1
entre ros,1.36,1.16
formosa,0.91,0.5
jujuy,0.58,0.85
la pampa,0.11,0.17
la rioja,0.11,0.64
mendoza,1.91,2.55
misiones,1.05,1.44
neuqun,1.3,1.49
ro negro,2.58,1.06
salta,1.41,1.91
san juan,0.42,0.71
san luis,0.33,0.64
santa cruz,0.22,0.28
santa fe,3.83,4.06
santiago del estero,0.94,1.16
tierra del fuego,0.22,0.52
tucumn,3.13,2.31
